EntrezID,Symbol,Type
3638,INSIG1,landmark
2309,FOXO3,landmark
1001,CDH3,landmark
4998,ORC1,landmark
3682,ITGAE,landmark
1022,CDK7,landmark
2353,FOS,landmark
1021,CDK6,landmark
1019,CDK4,landmark
1017,CDK2,landmark
3693,ITGB5,landmark
1029,CDKN2A,landmark
1027,CDKN1B,landmark
1026,CDKN1A,landmark
2356,FPGS,landmark
1052,CEBPD,landmark
1050,CEBPA,landmark
1062,CENPE,landmark
85377,MICALL1,landmark
1070,CETN3,landmark
11065,UBE2C,landmark
11072,DUSP14,landmark
11073,TOPBP1,landmark
11041,B4GAT1,landmark
23029,RBM34,landmark
11044,PAPD7,landmark
23038,WDTC1,domain
23039,XPO7,landmark
26993,AKAP8L,landmark
11031,RAB31,landmark
23013,SPEN,landmark
23014,FBXO21,landmark
23011,RAB21,landmark
11000,SLC27A3,landmark
11004,KIF2C,landmark
11007,CCDC85B,landmark
11011,TLK2,landmark
11014,KDELR2,landmark
63933,MCUR1,landmark
23097,CDK19,landmark
3725,JUN,landmark
23061,TBC1D9B,landmark
11098,PRSS23,landmark
23076,RRP1B,landmark
23077,MYCBP2,landmark
1111,CHEK1,landmark
3775,KCNK1,landmark
1123,CHN1,landmark
1153,CIRBP,landmark
50810,HDGFRP3,landmark
50813,COPS7A,landmark
50814,NSDHL,landmark
23200,ATP11B,landmark
11230,PRAF2,landmark
23210,JMJD6,landmark
23212,RRS1,landmark
25874,MPC2,landmark
84159,ARID5B,landmark
11232,POLG2,landmark
11200,CHEK2,landmark
25825,BACE2,landmark
25839,COG4,landmark
25803,SPDEF,landmark
25805,BAMBI,landmark
200734,SPRED2,landmark
11182,SLC2A6,landmark
23161,SNX13,landmark
11188,NISCH,landmark
16,AARS,landmark
23,ABCF1,landmark
25,ABL1,landmark
23149,FCHO1,landmark
23142,DCUN1D4,landmark
11168,PSIP1,landmark
30,ACAA1,landmark
39,ACAT2,landmark
47,ACLY,landmark
11142,PKIG,landmark
11151,CORO1A,landmark
23139,MAST2,landmark
23131,GPATCH8,landmark
25793,FBXO7,landmark
11157,LSM6,landmark
11137,PWP1,landmark
3800,KIF5C,landmark
3815,KIT,landmark
2523,FUT1,landmark
2534,FYN,landmark
2548,GAA,landmark
1213,CLTC,landmark
1212,CLTB,landmark
2542,SLC37A4,landmark
2553,GABPB1,landmark
3895,KTN1,landmark
2582,GALE,landmark
2597,GAPDH,landmark
1282,COL4A1,landmark
1277,COL1A1,landmark
23321,TRIM2,landmark
25987,TSKU,landmark
23325,WASHC4,landmark
23326,USP22,landmark
10013,HDAC6,landmark
11344,TWF2,landmark
23335,WDR7,landmark
23338,JADE2,landmark
23300,ATMIN,landmark
25966,C2CD2,landmark
11325,DDX42,landmark
25976,TIPARP,landmark
10007,GNPDA1,landmark
11319,ECD,landmark
25932,CLIC4,landmark
11284,PNKP,landmark
23271,CAMSAP2,landmark
11261,CHP1,landmark
23244,PDS5A,landmark
23223,RRP12,landmark
23224,SYNE2,landmark
3909,LAMA3,landmark
3925,STMN1,landmark
3930,LBR,landmark
50865,HEBP1,landmark
2625,GATA3,landmark
2624,GATA2,landmark
3964,LGALS8,landmark
3978,LIG1,landmark
3988,LIPA,landmark
2673,GFPT1,landmark
2690,GHR,landmark
1385,CREB1,landmark
116832,RPL39L,landmark
1399,CRKL,landmark
1398,CRK,landmark
23443,SLC35A3,landmark
10131,TRAP1,landmark
10146,G3BP1,landmark
10112,KIF20A,landmark
10123,ARL4C,landmark
23410,SIRT3,landmark
10099,TSPAN3,landmark
23386,NUDCD3,landmark
10051,SMC4,landmark
23365,ARHGEF12,landmark
23368,PPP1R13B,landm
10057,ABCC5,landmark
10059,DNM1L,landmark
10058,ABCB6,landmark
23378,RRP8,landmark
10038,PARP2,landmark
10046,MAMLD1,landmark
10049,DNAJB6,landmark
2736,GLI2,landmark
2745,GLRX,landmark
1429,CRYZ,landmark
2771,GNAI2,landmark
2770,GNAI1,landmark
2767,GNA11,landmark
2769,GNA15,landmark
2778,GNAS,landmark
1445,CSK,landmark
1459,CSNK2A2,landmark
1454,CSNK1E,landmark
1452,CSNK1A1,landmark
1465,CSRP1,landmark
10237,SLC35B1,landmark
10245,TIMM17B,landmark
23522,KAT6B,landmark
23530,NNT,landmark
23536,ADAT1,landmark
10227,MFSD10,landmark
10221,TRIB1,landmark
23512,SUZ12,landmark
10206,TRIM13,landmark
10190,TXNDC9,landmark
60493,FASTKD5,landmark
10174,SORBS3,landmark
10180,RBM6,landmark
23499,MACF1,landmark
10150,MBNL2,landmark
23463,ICMT,landmark
10153,CEBPZ,landmark
2810,SFN,landmark
10165,SLC25A13,landmark
2817,GPC1,landmark
1500,CTNND1,landmark
1509,CTSD,landmark
1514,CTSL,landmark
2852,GPER1,landmark
1534,CYB561,landmark
2887,GRB10,landmark
2886,GRB7,landmark
2896,GRN,landmark
23670,TMEM2,landmark
10362,HMG20B,landmark
23647,ARFIP2,landmark
23658,LSM5,landmark
23659,PLA2G15,landmark
10318,TNIP1,landmark
23636,NUP62,landmark
23635,SSBP2,landmark
10329,TMEM5,landmark
10320,IKZF1,landmark
2908,NR3C1,landmark
10298,PAK4,landmark
10270,AKAP8,landmark
10273,STUB1,landmark
23585,TMEM50A,landmark
23588,KLHDC2,landmark
2920,CXCL2,landmark
10276,NET1,landmark
23597,ACOT9,landmark
10285,SMNDC1,landmark
1605,DAG1,landmark
1616,DAXX,landmark
2946,GSTM2,landmark
2954,GSTZ1,landmark
2958,GTF2A2,landmark
2956,MSH6,landmark
60528,ELAC2,landmark
1635,DCTD,landmark
1633,DCK,landmark
2961,GTF2E2,landmark
1643,DDB2,excisio
1647,GADD45A,landmark
1666,DECR1,landmark
1662,DDX10,landmark
1677,DFFB,landmark
1676,DFFA,landmark
10491,CRTAP,landmark
10493,VAT1,landmark
10494,STK25,landmark
10489,LRRC41,landmark
10451,VAV3,domai
10450,PPIE,landmark
10434,LYPLA1,landmark
10398,MYL9,landmark
1738,DLD,landmark
84617,TUBB6,landmark
1759,DNM1,landmark
57019,CIAPIN1,landmark
1788,DNMT3A,landmark
1786,DNMT1,landmark
57048,PLSCR3,landmark
200081,TXLNA,landmark
10513,APPBP2,landmark
10525,HYOU1,landmark
10523,CHERP,landmark
58533,SNX6,landmark
57215,THAP11,landmark
10589,DRAP1,landmark
10557,RPP38,landmark
10559,SLC35A1,landmark
57192,MCOLN1,landmark
1802,DPH2,landmark
1829,DSG2,landmark
1831,TSC22D3,landmark
1848,DUSP6,landmark
1846,DUSP4,landmark
1845,DUSP3,landmark
84722,PSRC1,landmark
1861,TOR1A,landmark
1870,E2F2,landmark
1891,ECH1,landmark
58472,SQRDL,landmark
57149,LYRM1,landmark
57147,SCYL3,landmark
58478,ENOPH1,landmark
58497,PRUNE1,landmark
57178,ZMIZ1,landmark
10652,YKT6,landmark
10668,CGRRF1,landmark
10641,NPRL2,landmark
10644,IGF2BP2,landmark
10617,STAMBP,landmark
10610,ST6GALNAC2,landmark
10606,PAICS,landmark
10695,CNPY3,landmark
10670,RRAGA,landmark
10682,EBP,landmark
10681,GNB5,landmark
94239,H2AFV,landmark
1906,EDN1,landmark
1950,EGF,landmark
1958,EGR1,landmark
1956,EGFR,landmark
1978,EIF4EBP1,landmark
1983,EIF5,landmark
1981,EIF4G1,landmark
1994,ELAVL1,landmark
9019,MPZL1,landmark
9016,SLC25A14,landmark
9053,MAP7,landmark
84890,ADO,landmark
10776,ARPP19,landmark
10775,POP4,landmark
10782,ZNF274,landmark
57406,ABHD6,landmark
9093,DNAJA3,landmark
9097,USP14,landmark
10765,KDM5B,landmark
10730,YME1L1,landmark
10732,TCFL5,landmark
22794,CASC3,landmark
22796,COG2,landmark
10797,MTHFD2,landmark
256364,EML3,landmark
9112,MTA1,landmark
9124,PDLIM1,landmark
9128,PRPF4,landmark
9126,SMC3,landmark
9133,CCNB2,landmark
9134,CCNE2,landmark
9143,SYNGR3,landmark
9170,LPAR2,landmark
9183,ZW10,landmark
9181,ARHGEF2,land
10898,CPSF4,landmark
10892,MALT1,landmark
22889,KIAA0907,landmark
22883,CLSTN1,landmark
22887,FOXJ3,landmark
10857,PGRMC1,landmark
124583,CANT1,landmark
22841,RAB11FIP2,landmark
22809,ATF5,landmark
22823,MTF2,landmark
22827,PUF60,landmark
10845,CLPX,landmark
9212,AURKB,landmark
9217,VAPB,landmark
9221,NOLC1,landmark
10810,WASF3,landmark
10813,UTP14A,landmark
10818,FRS2,landmark
83743,GRWD1,landmark
9246,UBE2L6,landmark
9267,CYTH1,landmark
9261,MAPKAPK2,landmark
9276,COPB2,landmark
9270,ITGB1BP1,landmark
9275,BCL7B,landmark
9289,ADGRG1,landmark
55008,HERC6,landmark
10972,TMED10,landmark
10973,ASCC3,landmark
55012,PPP2R3C,landmark
55011,PIH1D1,landmark
22934,RPIA,landmark
10954,PDIA5,landmark
10953,TOMM34,landmark
55033,FKBP14,landmark
10969,EBNA1BP2,landmark
55038,CDCA4,landmark
10962,MLLT11,landmark
147179,WIPF2,landmark
22908,SACM1L,landmark
22926,ATF6,landmark
10915,TCERG1,landmark
9375,TM9SF2,landmark
22905,EPN2,landmark
10921,RNPS1,landmark
8050,PDHX,landmark
8061,FOSL1,landmark
10904,BLCAP,landmark
8091,HMGA2,landmark
57761,TRIB3,landmark
55111,PLEKHJ1,landmark
55127,HEATR1,landmark
55129,ANO10,landmark
55148,UBR7,landmark
79090,TRAPPC6A,landmark
79094,CHAC1,landmark
79080,CCDC86,landmark
9448,MAP4K4,landmark
9455,HOMER2,landmark
9467,SH3BP5,landmark
79006,METRN,landmark
9488,PIGB,Phosphatidyli
9491,PSMF1,landmark
79071,ELOVL6,landmark
79073,TMEM109,landmark
81533,ITFG1,landmark
80204,FBXO11,landmark
55256,ADI1,landmark
80212,CCDC92,landmark
81544,GDPD5,landmark
57804,POLD4,landmark
9517,SPTLC2,landmark
9519,TBPL1,landmark
9531,BAG3,landmark
8204,NRIP1,landmark
8202,NCOA3,landmar
9533,POLR1C,landmark
9552,SPAG7,landmark
8243,SMC1A,landmark
55179,FAIM,landmark
8270,LAGE3,landmark
79143,MBOAT7,landmark
79170,PRR15L,landmark
79174,CRELD2,landmark
93487,MAPK1IP1L,landmark
79187,FSD1,landmark
56654,NPDC1,landmark
55324,ABCF3,landmark
30001,ERO1A,landmark
66008,TRAK2,landmark
80347,COASY,landmark
29082,CHMP4A,landmark
29083,GTPBP8,landmark
9641,IKBKE,landmark
8312,AXIN1,landmark
9637,FEZ2,landmark
8321,FZD1,landmark
9653,HS2ST1,landmark
9650,MTFR1,landmark
8324,FZD7,landmark
8318,CDC45,landmark
7015,TERT,landmark
7016,TESK1,landmark
9670,IPO13,landmark
9686,VGLL4,landmark
7027,TFDP1,landmark
9688,NUP93,landmark
7020,TFAP2A,landmark
8349,HIST2H2BE,landmark
9697,TRAM2,landmark
9695,EDEM1,landmark
9690,UBE3C,landmark
7043,TGFB3,landmark
7048,TGFBR2,landmark
8396,PIP4K2B,landmark
7077,TIMP2,landmark
7074,TIAM1,doma
7088,TLE1,landmark
7082,TJP1,landmark
93594,TBC1D31,landmark
7099,TLR4,landmark
29103,DNAJC15,landmark
148022,TICAM1,landmark
9712,USP6NL,landmark
9710,KIAA0355,landmark
9702,CEP57,landmark
9703,KIAA0100,landmark
9709,HERPUD1,landmark
102,ADAM10,landmark
9738,CCP110,landmark
128,ADH5,landmark
9761,MLEC,landmark
7105,TSPAN6,landmark
8440,NCK2,landmark
8446,DUSP11,landmark
8444,DYRK3,landmark
142,PARP1,landmark
7106,TSPAN4,landmark
154,ADRB2,landmark
9797,TATDN2,landmark
178,AGL,landmark
7153,TOP2A,landmark
7158,TP53BP1,landmark
7157,TP53,landmark
7159,TP53BP2,landmark
8480,RAE1,landmark
7165,TPD52L2,landmark
7168,TPM1,landmark
80349,WDR61,landmark
9801,MRPL19,landmark
9805,SCRN1,landmark
9813,EFCAB14,landmark
9817,KEAP1,landmark
9833,MELK,landmark
207,AKT1,landmark
54205,CYCS,landmark
9842,PLEKHM1,landmark
211,ALAS1,landmark
8503,PIK3R3,landmark
8508,NIPSNAP1,landmark
8520,HAT1,landmark
9851,KIAA0753,landmark
9854,C2CD2L,landmark
55556,ENOSF1,landmark
226,ALDOA,landmark
9847,C2CD5,landmark
56889,TM9SF3,landmark
8518,IKBKAP,comp
230,ALDOC,landmark
9868,TOMM70,mem
8553,BHLHE40,landmark
8550,MAPKAPK5,landmark
9897,WASHC5,landmark
8574,AKR7A2,landmark
8573,CASK,doma
8569,MKNK1,landmark
7264,TSTA3,landmark
291,SLC25A4,landmark
91137,SLC25A46,landmark
7296,TXNRD1,landmark
79643,CHMP6,landmark
55699,IARS2,landmark
54386,TERF2IP,landmark
65057,ACD,landmark
55604,CARMIL1,landmark
55608,ANKRD10,landmark
56940,DUSP22,landmark
9903,KLHL21,landmark
55620,STAP2,landmark
9917,FAM20B,landmark
9918,NCAPD2,landmark
9915,ARNT2,landmark
9924,PAN2,landmark
9928,KIF14,landmark
9926,LPGAT1,landmark
9943,OXSR1,landmark
310,ANXA7,landmark
8607,RUVBL1,landmark
323,APBB2,landmark
79600,TCTN1,landmark
329,BIRC2,containing
9961,MVP,landmark
332,BIRC5,landmark
56997,COQ8A,landmark
8624,PSMG1,landmark
348,APOE,landmark
351,APP,landmark
355,FAS,landmark
7319,UBE2A,landmark
9988,DMTF1,landmark
8678,BECN1,landmark
6009,RHEB,landmark
7358,UGDH,landmark
387,RHOA,landmark
392,ARHGAP1,landmark
7376,NR1H2,landmark
6050,RNH1,landmark
7398,USP1,landmark
56924,PAK6,landmark
65123,INTS3,landmark
80758,PRR7,landmark
375346,TMEM110,landmark
80746,TSEN2,landmark
54499,TMCO1,landmark
55748,CNDP2,landmark
55746,NUP133,landmark
79716,NPEPL1,landmark
8720,MBTPS1,landmark
427,ASAH1,landmark
8731,RNMT,landmark
8726,EED,landmark
54438,GFOD1,landmark
8727,CTNNAL1,landmark
54442,KCTD5,landmark
7416,VDAC1,landmark
55793,MINDY1,landmark
466,ATF1,landmark
481,ATP1B1,landmark
6117,RPA1,landmark
6119,RPA3,landmark
6118,RPA2,landmark
7466,WFS1,landmark
7485,WRB,landmark
7494,XBP1,landmark
6182,MRPL12,landmark
6184,RPN1,landmark
6193,RPS5,landmark
6195,RPS6KA1,landmark
6194,RPS6,landmark
388650,FAM69A,landmark
501,ALDH7A1,landmark
54512,EXOSC4,landmark
55847,CISD1,landmark
8800,PEX11A,landmark
8804,CREG1,landmark
8821,INPP4B,landmark
533,ATP6V0B,landmark
8826,IQGAP1,landmark
7511,XPNPEP1,landmark
54541,DDIT4,landmark
8835,SOCS2,landmark
8837,CFLAR,la
8851,CDK5R1,landmark
79850,FAM57A,landmark
55893,ZNF395,landmark
8870,IER3,landmark
572,BAD,landmark
8869,ST3GAL5,landmark
7538,ZFP36,landmark
8884,SLC5A6,landmark
581,BAX,landmark
8878,SQSTM1,landmark
8895,CPNE3,landmark
595,CCND1,landmark
596,BCL2,landmark
6251,RSU1,landmark
6253,RTN2,landmark
6275,S100A4,landmark
6284,S100A13,landmark
55818,KDM3A,landmark
55825,PECR,landmark
54505,DHX29,landmark
55837,EAPP,landmark
27095,TRAPPC3,landmark
64080,RBKS,landmark
8900,CCNA1,landmark
27032,ATP2C1,landmark
622,BDH1,landmark
8914,TIMELESS,landmark
637,BID,landmark
642,BLMH,landmark
644,BLVRA,landmark
79921,TCEAL4,landmark
652,BMP4,landmark
664,BNIP3,landmark
665,BNIP3L,landmark
79947,DHDDS,landmark
8974,P4HA2,landmark
670,BPHL,landmark
672,BRCA1,subunits
53343,NUDT9,landmark
6304,SATB1,landmark
8985,PLOD3,landmark
54681,P4HTM,landmark
79961,DENND2D,landmark
8996,NOL3,landmark
695,BTK,landmark
6342,SCP2,landmark
6347,CCL2,landmark
5018,OXA1L,landmark
5019,OXCT1,landmark
7690,ZNF131,landmark
5048,PAFAH1B1,landmark
5054,SERPINE1,landmark
5058,PAK1,landmark
5050,PAFAH1B3,landmark
6390,SDHB,landmark
5096,PCCB,landmark
5092,PCBD1,landmark
79902,NUP85,landmark
54623,PAF1,landmark
55958,KLHL9,landmark
701,BUB1B,landmark
727,C5,landmark
7750,ZMYM2,landmark
780,DDR1,landmark
5110,PCMT1,landmark
5111,PCNA,landmark
6443,SGCB,landmark
5106,PCK2,landmark
5108,PCM1,landmark
6461,SHB,landmark
6464,SHC1,landmark
5154,PDGFA,landmark
6499,SKIV2L,landmark
54733,SLC35F2,landmark
27109,ATP5S,landmark
29763,PACSIN3,landmark
808,CALM3,landmark
813,CALU,landmark
823,CAPN1,landmark
831,CAST,landmark
835,CASP2,landmark
836,CASP3,landmark
840,CASP7,landmark
843,CASP10,landmark
847,CAT,landmark
6500,SKP1,landmark
868,CBLB,landmark
6509,SLC1A4,landmark
873,CBR1,landmark
874,CBR3,landmark
7852,CXCR4,landmark
54881,TEX10,landmark
7849,PAX8,landmark
890,CCNA2,landmark
891,CCNB1,landmark
896,CCND3,landmark
899,CCNF,landmark
5211,PFKL,landmark
7874,USP7,landmark
7866,IFRD2,landmark
7867,MAPKAPK3,landmark
5223,PGAM1,landmark
5236,PGM1,landmark
5255,PHKA1,landmark
5257,PHKB,landmark
5261,PHKG2,landmark
6597,SMARCA4,landmark
6599,SMARCC1,landm
54807,ZNF586,landmark
5287,PIK3C2B,landmark
5289,PIK3C3,landmark
5290,PIK3CA,landmark
54850,FBXL12,landmark
27242,TNFRSF21,landmark
27244,SESN1,landmark
29890,RBM15B,landmark
30849,PIK3R4,landmark
902,CCNH,landmark
30836,DNTTIP2,landmark
51097,SCCPDH,landmark
949,SCARB1,landmark
7905,REEP5,landmark
958,CD40,landmark
960,CD44,landmark
965,CD58,landmark
26054,SENP6,landmark
976,ADGRE5,landmark
6603,SMARCD2,landmark
26064,RAI14,landmark
983,CDK1,landmark
6616,SNAP25,landmark
5300,PIN1,landmark
991,CDC20,landmark
993,CDC25A,landmark
994,CDC25B,landmark
51001,MTERF3,landmark
998,CDC42,landmark
51005,AMDHD2,landmark
6622,SNCA,landmark
51015,ISOC1,landmark
5321,PLA2G4A,landmark
7982,ST7,landmark
51021,MRPS16,landmark
51024,FIS1,landmark
51026,GOLT1B,landmark
91949,COG7,landmark
5331,PLCB3,landmark
7994,KAT6A,landmark
51031,GLOD4,landmark
6657,SOX2,landmark
6659,SOX4,landmark
6676,SPAG4,landmark
5355,PLP2,landmark
51053,GMNN,landmark
51056,LAP3,landmark
4016,LOXL1,landmark
5347,PLK1,landmark
6696,SPP1,landmark
5366,PMAIP1,landmark
6697,SPR,landmark
5357,PLS1,landmark
5359,PLSCR1,landmark
5373,PMM2,landmark
4043,LRPAP1,landmark
51070,NOSIP,landmark
51071,DERA,landmark
54915,YTHDF1,landmark
4067,LYN,landmark
29928,TIMM22,landmark
4088,SMAD3,landmark
29937,NENF,landmark
54957,TXNL4B,landmark
29911,HOOK2,landmark
29916,SNX11,landmark
26036,ZNF451,landmark
27346,TMEM97,landmark
26020,LRP10,landmark
27336,HTATSF1,landmark
26001,RNF167,landmark
29978,UBQLN2,landmark
6709,SPTAN1,landmark
6714,SRC,landmark
5423,POLB,landmark
5427,POLE2,landmark
5440,POLR2K,landmark
6772,STAT1,landmark
6774,STAT3,landmark
5438,POLR2I,landmark
6777,STAT5B,landmark
6790,AURKA,landmark
6793,STK10,landmark
51160,VPS28,landmark
4125,MAN2B1,landmark
4144,MAT2A,landmark
51170,HSD17B11,landmark
5467,PPARD,landmark
5468,PPARG,landmark
4154,MBNL1,landmark
5480,PPIC,landmark
5498,PPOX,landmark
4172,MCM3,landmark
64422,ATG3,landmark
64429,ZDHHC6,landmark
64428,NARFL,landmark
51116,MRPS2,landmark
26136,TES,landmark
26128,KIF1BP,landmark
6804,STX1A,landmark
6810,STX4,landmark
6812,STXBP1,landmark
6813,STXBP2,landmark
6839,SUV39H1,landmark
6832,SUPV3L1,landmark
6850,SYK,landmark
26292,MYCBP,landmark
4200,ME2,landmark
6856,SYPL1,landmark
5525,PPP2R5A,landmark
5529,PPP2R5E,landmark
4208,MEF2C,landmark
4216,MAP3K4,landmark
5547,PRCP,landmark
6894,TARBP1,landmark
4232,MEST,landmark
90861,HN1L,landmark
5566,PRKACA,landmark
5580,PRKCD,landmark
5583,PRKCH,landmark
51282,SCAND1,landmark
51293,CD320,landmark
5588,PRKCQ,landmark
4282,MIF,landmark
51203,NUSAP1,landmark
26227,PHGDH,landmark
6908,TBP,landmark
6909,TBX2,landmark
6919,TCEA2,landmark
6915,TBXA2R,landmark
5607,MAP2K5,landmark
5601,MAPK9,landmark
5603,MAPK13,landmark
6944,VPS72,landmark
5613,PRKX,landmark
5627,PROS1,landmark
5641,LGMN,landmark
4303,FOXO4,landmark
4312,MMP1,landmark
4313,MMP2,landmark
6990,DYNLT3,landmark
4331,MNAT1,landmark
5654,HTRA1,landmark
6988,TCTA,landmark
51375,SNX7,landmark
51382,ATP6V1D,landmark
51385,ZNF589,landmark
5696,PSMB8,landmark
3033,HADH,landmark
3028,HSD17B10,landmark
5699,PSMB10,landmark
3066,HDAC2,landmark
3091,HIF1A,landmark
3098,HK1,landmark
89910,UBE3B,landmark
28969,BZW2,landmark
51335,NGRN,landmark
5708,PSMD2,landmark
5710,PSMD4,landmark
5715,PSMD9,landmark
5716,PSMD10,landmark
5720,PSME1,landmark
5721,PSME2,landmark
5743,PTGS2,landmark
5747,PTK2,landmark
5770,PTPN1,landmark
3108,HLA-DMA,landmark
5782,PTPN12,landmark
3122,HLA-DRA,landmark
5777,PTPN6,landmark
5792,PTPRF,ph
5796,PTPRK,Prote
51495,HACD3,landmark
5788,PTPRC,"phosphatases,"
4482,MSRA,landmark
3156,HMGCR,landmark
3162,HMOX1,landmark
3157,HMGCS1,landmark
51422,PRKAG2,landmark
64746,ACBD3,landmark
51465,UBE2J1,landmark
51466,EVL,landmark
64781,CERK,landmark
5827,PXMP2,landmark
5829,PXN,landmark
5831,PYCR1,landmark
5836,PYGL,landmark
5873,RAB27A,landmark
3206,HOXA10,landmark
3202,HOXA5,landmark
5867,RAB4A,landmark
5880,RAC2,land
5883,RAD9A,landmark
5891,MOK,landmark
5889,RAD51C,landmark
5898,RALA,landmark
5899,RALB,landmark
4582,MUC1,landmark
3251,HPRT1,landmark
3280,HES1,landmark
26511,CHIC2,landmark
51569,UFM1,landmark
26520,TIMM9,landmark
51599,LSR,landmark
5909,RAP1GAP,landmark
5900,RALGDS,landmark
5927,KDM5A,landmark
5921,RASA1,landmark
5925,RB1,landmark
4609,MYC,landmark
4605,MYBL2,landmark
4616,GADD45B,landmark
5971,RELB,landmark
3303,HSPA1A,landmark
3300,DNAJB2,landmark
3308,HSPA4,landmark
4638,MYLK,landmark
4651,MYO10,landmark
5982,RFC2,landmark
3315,HSPB1,landmark
3312,HSPA8,landmark
5993,RFX5,landmark
3329,HSPD1,landmark
5985,RFC5,landmark
5986,RFNG,landmark
3337,DNAJB1,landmark
5997,RGS2,landmark
2017,CTTN,landmark
4690,NCK1,landmark
2042,EPHA3,landmark
2037,EPB41L2,landmark
3385,ICAM3,landmark
3383,ICAM1,landmark
2048,EPHB2,landmark
3398,ID2,landmark
2065,ERBB3,landmark
2064,ERBB2,landmark
2063,NR2F6,landmark
2058,EPRS,landmark
64943,NT5DC2,landmark
51635,DHRS7,landmark
3416,IDE,landmark
2109,ETFB,landmark
4780,NFE2L2,landmark
4783,NFIL3,landmark
2115,ETV1,landmark
2113,ETS1,landmark
4775,NFATC3,landmark
4776,NFATC4,landmark
4791,NFKB2,landmark
4792,NFKBIA,landmark
4793,NFKBIB,landmark
4794,NFKBIE,landmark
2131,EXT1,landmark
3454,IFNAR1,landmark
3486,IGFBP3,landmark
3482,IGF2R,landmark
3480,IGF1R,landmark
2146,EZH2,repressiv
2185,PTK2B,landmark
2184,FAH,landmark
2195,FAT1,landmark
24149,ZNF318,landmark
51719,CAB39,landmark
4817,NIT1,landmark
51742,ARID4B,landmark
3508,IGHMBP2,landmark
4836,NMT1,landmark
4850,CNOT4,landmark
4846,NOS3,landmark
4860,PNP,landmark
4851,NOTCH1,landmark
4864,NPC1,landmark
3551,IKBKB,landmark
4891,SLC11A2,landmark
4893,NRAS,landmark
2222,FDFT1,landmark
3553,IL1B,landmark
3566,IL4R,landmark
2264,FGFR4,landmark
2263,FGFR2,landmark
2274,FHL2,landmark
3597,IL13RA1,landmark
2288,FKBP4,landmark
63874,ABHD4,landmark
85236,HIST1H2BK,landmark
4925,NUCB2,landmark
4927,NUP88,landmark
4931,NVL,landmark
3611,ILK,landmark
3628,INPP1,landmark
